Input State: (1.000)|0000000000〉

  P[00000] = 0.1232838288
  P[00001] = 0.1232838288
  P[00010] = 0.1232838288
  P[00011] = 0.1232838288
  P[00100] = 0.1232838288
  P[00101] = 0.1232838288
  P[00110] = 0.1232838288
  P[00111] = 0.1232838288
  P[01000] = 0.0005720571
  P[01001] = 0.0005720571
  P[01010] = 0.0005720571
  P[01011] = 0.0005720571
  P[01100] = 0.0005720571
  P[01101] = 0.0005720571
  P[01110] = 0.0005720571
  P[01111] = 0.0005720571
  P[10000] = 0.0005720571
  P[10001] = 0.0005720571
  P[10010] = 0.0005720571
  P[10011] = 0.0005720571
  P[10100] = 0.0005720571
  P[10101] = 0.0005720571
  P[10110] = 0.0005720571
  P[10111] = 0.0005720571
  P[11000] = 0.0005720571
  P[11001] = 0.0005720571
  P[11010] = 0.0005720571
  P[11011] = 0.0005720571
  P[11100] = 0.0005720571
  P[11101] = 0.0005720571
  P[11110] = 0.0005720571
  P[11111] = 0.0005720571
